 Dates ; HF Index ; UST ; SPX ; RTY ; SX5E ; TPX ; EUR ; JPY ; MSCI_EM 
30/09/2007;0.0212;0.0021;0.0326;0.0155;0.0194;0.0106;0.0445;0.0053;0.1037
31/10/2007;0.0253;0.0068;0.0109;0.0235;0.0211;0.0063;0.0152;-0.0092;0.1059
30/11/2007;-0.0205;0.0355;-0.0458;-0.0756;-0.0215;-0.0627;0.0092;0.034;-0.0754
31/12/2007;0.0015;0.0017;-0.0107;-0.001;-0.0029;-0.0411;-0.0044;-0.0103;-0.0015
31/01/2008;-0.0317;0.0294;-0.0661;-0.0741;-0.1387;-0.1042;0.0184;0.0457;-0.1298
29/02/2008;0.0158;0.0169;-0.035;-0.0394;-0.0259;-0.021;0.0219;0.0217;0.0699
31/03/2008;-0.0231;0.0142;-0.007;0.0045;-0.0255;-0.0449;0.0394;0.0409;-0.0566
30/04/2008;0.0136;-0.0264;0.0468;0.0398;0.0597;0.0981;-0.0076;-0.0418;0.0765
31/05/2008;0.0161;-0.016;0.0105;0.0435;0.0037;0.0339;-0.0041;-0.0165;0.0132
30/06/2008;-0.0123;0.0134;-0.0864;-0.0758;-0.1117;-0.0626;0.0139;-0.007;-0.1036
31/07/2008;-0.0249;0.0079;-0.0109;0.0344;-0.0003;-0.0126;-0.0085;-0.0189;-0.0437
31/08/2008;-0.0147;0.0162;0.0122;0.0341;-0.0018;-0.0305;-0.0595;-0.0096;-0.0842
30/09/2008;-0.0597;-0.0076;-0.0897;-0.0827;-0.0978;-0.0976;-0.0294;0.0268;-0.1791
31/10/2008;-0.0634;-0.0135;-0.1725;-0.2092;-0.1535;-0.2414;-0.0986;0.0676;-0.2783
30/11/2008;-0.0189;0.0868;-0.0744;-0.1189;-0.064;-0.033;-0.0031;0.0321;-0.0785
31/12/2008;0.0058;0.0395;0.0068;0.0578;0.007;0.0658;0.0963;0.0487;0.0745
31/01/2009;-0.0009;-0.0244;-0.0862;-0.1111;-0.0902;-0.1383;-0.0817;0.0099;-0.0665
28/02/2009;-0.0107;-0.0079;-0.1074;-0.1222;-0.114;-0.0582;-0.0068;-0.0825;-0.0574
31/03/2009;0.0147;0.0337;0.0873;0.0917;0.0445;0.1305;0.0463;-0.0136;0.1411
30/04/2009;0.0319;-0.0253;0.0946;0.1552;0.1681;0.0714;-0.0017;0.0033;0.1623
31/05/2009;0.0505;-0.019;0.0553;0.03;0.0498;0.0767;0.0656;0.0368;0.1662
30/06/2009;0.0028;-0.0064;0.0021;0.017;-0.0164;0.0361;-0.0057;-0.0126;-0.0156
31/07/2009;0.0248;0.0089;0.0753;0.096;0.0993;0.043;0.0153;0.0159;0.1084
31/08/2009;0.0133;0.0107;0.0359;0.0284;0.0527;0.014;0.0053;0.0193;-0.0056
30/09/2009;0.0277;0.0094;0.0371;0.0592;0.0351;-0.0397;0.0221;0.0371;0.0886
31/10/2009;-0.0026;0.0025;-0.0189;-0.0683;-0.0459;-0.03;0.0055;-0.0044;-0.0279
30/11/2009;0.0156;0.0216;0.0598;0.031;0.0271;-0.0494;0.0179;0.0431;0.0688
31/12/2009;0.0093;-0.0374;0.0191;0.082;0.0629;0.15;-0.0433;-0.0739;0.0223
31/01/2010;-0.0078;0.0234;-0.0363;-0.0367;-0.067;-0.0385;-0.0327;0.0314;-0.0717
28/02/2010;0.0067;0.0064;0.0308;0.0448;-0.0177;-0.0044;-0.0176;0.0158;0.0213
31/03/2010;0.0267;-0.0106;0.0606;0.083;0.0754;0.103;-0.008;-0.0493;0.0423
30/04/2010;0.0106;0.0142;0.0156;0.0567;-0.0361;-0.0135;-0.015;-0.0049;-0.0011
31/05/2010;-0.0273;0.0235;-0.0802;-0.076;-0.0535;-0.1224;-0.074;0.0343;-0.0916
30/06/2010;-0.0092;0.0223;-0.0531;-0.0773;-0.0108;-0.0456;-0.0071;0.0256;-0.0261
31/07/2010;0.0138;0.0104;0.0698;0.0688;0.0689;0.0364;0.0658;0.0239;0.1065
31/08/2010;0.0017;0.0217;-0.0455;-0.0739;-0.0474;-0.0739;-0.03;0.0269;-0.0246
30/09/2010;0.0325;0.0033;0.0895;0.1259;0.0527;0.0712;0.0769;0.0077;0.1194
31/10/2010;0.0218;0.0019;0.0378;0.0411;0.0369;-0.0251;0.0186;0.0357;0.027
